,f1,pm,rm
others,0.476793102249,0.748254037538,0.34986478902
python,0.705023813182,0.737070350145,0.675647820966
php,0.690317671676,0.682142857143,0.698690797074
sql,0.572297297297,0.431262729124,0.850401606426
c,0.512518812423,0.404012079379,0.700710811822
html,0.276354200454,0.169653524492,0.744755244755
c#,0.556339666537,0.554576376005,0.558114205695
java,0.658530357964,0.68763997014,0.631785224378
javascript,0.618740795287,0.589856089856,0.650600077429
c++,0.635881202868,0.612995871477,0.660541586074
css,0.673371228684,0.589135424637,0.785714285714
regex,0.382775119617,0.248447204969,0.833333333333
android,0.685776095187,0.606698564593,0.78855721393
jquery,0.558203483043,0.445827232796,0.746323529412
arrays,0.2832,0.175595238095,0.731404958678
ios,0.596454326923,0.515718368407,0.707160669754
